448,2700
472,2651
266,2693
110,2615
97,2627
92,2632
56,2684
158,2768
306,2766
453,2774
541,2786
712,2689
451,2727
470,2676
282,2749
95,2675
65,2697
63,2704
43,2774
170,2828
319,2825
450,2802
545,2811
730,2675
450,2622
480,2570
286,2623
111,2547
96,2564
94,2572
76,2629
178,2687
331,2695
461,2684
552,2695
715,2601
422,2659
454,2608
215,2663
83,2579
46,2617
44,2631
37,2696
134,2748
289,2754
453,2750
580,2762
750,2646
402,2616
417,2584
263,2611
139,2539
120,2559
113,2576
111,2628
185,2669
310,2675
410,2666
493,2677
631,2609
440,2696
466,2653
272,2706
79,2636
59,2650
51,2652
35,2722
165,2783
320,2767
457,2749
568,2753
735,2664
450,2784
471,2748
289,2802
86,2727
66,2753
59,2774
56,2826
162,2885
322,2885
463,2863
574,2875
738,2766
483,2780
498,2748
329,2794
110,2709
97,2731
84,2741
76,2802
187,2869
350,2864
483,2855
597,2846
761,2795
546,2778
556,2754
434,2772
295,2712
276,2728
273,2734
268,2773
333,2819
463,2832
545,2838
620,2844
757,2774
402,2666
417,2639
276,2658
153,2596
133,2615
130,2621
131,2665
198,2703
317,2712
396,2728
487,2737
613,2700
620,2757
625,2734
480,2757
368,2722
358,2733
340,2737
333,2776
400,2817
527,2819
606,2823
690,2821
789,2751
467,2798
478,2765
333,2794
203,2738
185,2755
177,2756
179,2804
251,2843
369,2854
471,2855
554,2862
680,2802
410,2644
421,2621
317,2634
220,2600
211,2608
202,2611
206,2650
258,2676
357,2683
414,2685
464,2699
568,2666
504,2742
511,2711
353,2730
247,2676
234,2691
225,2698
223,2737
282,2781
408,2791
502,2785
600,2798
690,2736
635,2642
642,2617
552,2636
430,2608
419,2623
417,2633
423,2661
475,2682
578,2679
637,2681
684,2681
760,2653
585,2721
592,2690
503,2726
335,2700
323,2717
316,2722
321,2760
389,2785
508,2770
591,2768
674,2770
781,2713
461,2703
464,2679
327,2695
191,2647
176,2658
170,2663
169,2709
240,2745
369,2748
459,2758
551,2779
643,2741
576,2614
580,2581
466,2605
329,2567
320,2577
311,2576
309,2616
375,2650
490,2651
569,2656
639,2655
746,2592
356,2725
367,2704
278,2707
190,2673
181,2681
177,2683
168,2716
209,2743
304,2758
356,2764
413,2782
479,2736
460,2729
471,2703
356,2714
221,2657
212,2671
205,2676
201,2711
259,2754
382,2759
460,2774
523,2779
624,2746
558,2734
563,2707
443,2726
347,2684
336,2701
326,2707
324,2740
384,2769
490,2776
560,2782
626,2789
739,2748
458,2659
472,2612
292,2670
79,2571
65,2591
51,2593
40,2663
149,2737
320,2747
465,2729
565,2731
748,2660
480,2672
487,2627
299,2678
110,2618
91,2637
85,2640
78,2702
180,2753
343,2755
490,2747
576,2742
725,2678
475,2751
476,2706
325,2768
137,2715
120,2732
116,2751
122,2799
211,2839
366,2831
487,2809
587,2800
717,2713
453,2543
466,2504
314,2562
136,2502
122,2520
113,2527
108,2588
201,2633
364,2634
477,2620
605,2613
722,2507
525,2577
539,2541
377,2584
235,2520
221,2537
220,2552
216,2602
293,2649
424,2651
536,2641
661,2646
775,2578
398,2744
409,2718
242,2755
92,2714
74,2727
69,2745
74,2791
146,2831
297,2827
404,2813
496,2819
621,2742
463,2586
480,2551
312,2589
150,2524
130,2533
106,2538
99,2601
201,2654
348,2657
472,2647
579,2662
